timestamp,Susceptible,Diagnosed,Infected,Ailing,Recognized,Healed,Threatened,Extinct
0.0,0.9999963,3.33333333e-7,3.33333333e-6,1.66666666e-8,3.33333333e-8,0.0,0.0,0.0
0.4851521399160408,0.9999952915229029,5.919145546989561e-7,3.774131629178174e-6,2.0931364205487055e-7,8.067936912130783e-8,6.747733045656112e-8,1.6241788384319312e-9,3.0555809387394606e-12
0.4851521399160408,0.9999952915229029,5.919145546989561e-7,3.774131629178174e-6,2.0931364205487055e-7,8.067936912130783e-8,6.747733045656112e-8,1.6241788384319312e-9,3.0555809387394606e-12
1.0,0.9999940248875309,8.88392100290155e-7,4.352070664317321e-6,4.0608465460829114e-7,1.8396673524600377e-7,1.5519358758645405e-7,6.0499635952096056e-9,2.1426324330192223e-11
2.0,0.9999908518257504,1.5606027888727437e-6,5.8560141646900215e-6,7.959177341174183e-7,5.423242693537248e-7,3.846562326275413e-7,2.5161444290921323e-8,1.6427844467321434e-10
2.522182001513497,0.9999887308416259,1.9812792994065745e-6,6.882114778325583e-6,1.0189615792187515e-6,8.177317668009006e-7,5.431537101840004e-7,4.224594542654839e-8,3.3795758867457573e-10
2.522182001513497,0.9999887308416259,1.9812792994065745e-6,6.882114778325583e-6,1.0189615792187515e-6,8.177317668009006e-7,5.431537101840004e-7,4.224594542654839e-8,3.3795758867457573e-10
3.0,0.999986445972102,2.421163181106843e-6,7.996099481571336e-6,1.2441511156785692e-6,1.1285100468052633e-6,7.169351892156135e-7,6.324782438767377e-8,5.877221499986522e-10
4.0,0.9999803452953562,3.559160404017243e-6,1.0992324592379253e-5,1.8080478932318565e-6,1.991674588834097e-6,1.190786807833935e-6,1.2786155923631078e-7,1.5154610651825358e-9
5.0,0.9999718944069177,5.0941075514424596e-6,1.5165288494801088e-5,2.5522826589435673e-6,3.217302758496833e-6,1.8607515406026892e-6,2.2926120320277738e-7,3.2655376554867605e-9
5.647027297777653,0.9999647623557325,6.373101188623678e-6,1.8694428525343798e-5,3.1692688775470087e-6,4.258617583818152e-6,2.433001392879081e-6,3.208590171719908e-7,5.034344895732376e-9
